"Pregunta","Dificultad","Discriminación"
"EAES302241",0.359329327921392,1.18203023245996
"EAES301871",0.621745283480316,1.18203023245996
"EAES302341",0.802714281395254,1.18203023245996
"EAES302187",0.802967994566151,1.18203023245996
"EAES302242",0.896365019408892,1.18203023245996
"EAES302034",0.896469938223556,1.18203023245996
"EAES301624",0.992777637664189,1.18203023245996
"EAES302336",1.14277195978464,1.18203023245996
"EAES302340",1.14277394778385,1.18203023245996
"EAES302361",1.2482605556134,1.18203023245996
"EAES302230",1.30279933172632,1.18203023245996
"EAES301999",1.30280286440058,1.18203023245996
"EAES301707",1.35863421508734,1.18203023245996
"EAES302381",1.35869464215538,1.18203023245996
"EAES302225",1.41607413384218,1.18203023245996
"EAES302022",1.41612806519269,1.18203023245996
"EAES302378",1.47540584213079,1.18203023245996
"EAES302175",1.53669215838022,1.18203023245996
"EAES302165",1.53712186116193,1.18203023245996
"EAES302233",1.60051168564108,1.18203023245996
"EAES302155",1.6664966886558,1.18203023245996
"EAES301608",1.73561815930882,1.18203023245996
"EAES302195",1.80682011429291,1.18203023245996
"EAES302353",1.80690004141525,1.18203023245996
"EAES301687",1.88246410409001,1.18203023245996
"EAES302188",1.88260630407914,1.18203023245996
"EAES301596",1.96242878434752,1.18203023245996
"EAES302332",2.13780116163869,1.18203023245996
"EAES302347",2.45774012793616,1.18203023245996
"EAES302372",2.73446825222079,1.18203023245996
"EAES302389",2.90418217817857,1.18203023245996
"EAES302154",0.949543850490327,1.0856240920128
"EAES302186",1.00769310290293,1.0856240920128
"EAES302240",1.25188170624384,1.0856240920128
"EAES301607",1.25256983993013,1.0856240920128
"EAES302174",1.38374731011193,1.0856240920128
"EAES302360",1.45242946817523,1.0856240920128
"EAES302229",1.45247495110369,1.0856240920128
"EAES302164",1.52338209691394,1.0856240920128
"EAES301635",1.52353012607001,1.0856240920128
"EAES302224",1.67383435819939,1.0856240920128
"EAES302352",1.67391992536848,1.0856240920128
"EAES302377",1.67393836746127,1.0856240920128
"EAES302339",1.75350636972409,1.0856240920128
"EAES301792",1.75356489374595,1.0856240920128
"EAES302335",1.83767984566114,1.0856240920128
"EAES301686",1.83802287886447,1.0856240920128
"EAES301595",2.01972929675101,1.0856240920128
"EAES302371",2.02005093842896,1.0856240920128
"EAES302380",2.11962679425231,1.0856240920128
"EAES302331",2.22756639294402,1.0856240920128
"EAES302194",2.3444485329489,1.0856240920128
"EAES301706",2.47133683147256,1.0856240920128
"EAES301623",2.47138708497789,1.0856240920128
"EAES302346",2.7756867762086,1.0856240920128
"EAES302388",2.9611819539064,1.0856240920128
"EAES302232",3.18608276298092,1.0856240920128
"EAES301870",3.18679505594008,1.0856240920128
"EAES302231",-0.587986600621408,0.736534848495168
"EAES301791",0.137780712373144,0.736534848495168
"EAES301705",0.163990198031841,0.736534848495168
"EAES301634",0.350626241587461,0.736534848495168
"EAES302379",0.377537940679819,0.736534848495168
"EAES302338",0.377634009552357,0.736534848495168
"EAES301606",1.39274398929014,0.736534848495168
"EAES302228",1.63798209926524,0.736534848495168
"EAES302351",1.67289150950058,0.736534848495168
"EAES302376",1.70760785544705,0.736534848495168
"EAES302173",1.77770641641731,0.736534848495168
"EAES302163",1.79444216520008,0.736534848495168
"EAES302330",1.79502121509472,0.736534848495168
"EAES301622",1.83100046103157,0.736534848495168
"EAES301869",1.88604946461366,0.736534848495168
"EAES302223",1.90489189700817,0.736534848495168
"EAES302370",2.07707356536183,0.736534848495168
"EAES302185",2.2611951451368,0.736534848495168
"EAES301685",2.28266223745553,0.736534848495168
"EAES302153",2.50854675606515,0.736534848495168
"EAES302387",2.55593013839365,0.736534848495168
"EAES301594",2.58032366033117,0.736534848495168
"EAES302345",2.78602147640733,0.736534848495168
"EAES302193",2.84067125856763,0.736534848495168
"EAES302359",2.92574454507431,0.736534848495168
"EAES302334",3.7966987686109,0.736534848495168
"EAES302239",3.99606760267476,0.736534848495168
"EAES301676",0.192138062974621,0.6324535375262
"EAES302227",0.564201706426221,0.6324535375262
"EAES302210",0.581509119566018,0.6324535375262
"EAES302337",0.667369778860991,0.6324535375262
"EAES302184",0.806603310493079,0.6324535375262
"EAES301621",0.824171693898668,0.6324535375262
"EAES301716",1.00166408892857,0.6324535375262
"EAES302358",1.03790939164064,0.6324535375262
"EAES302344",1.16582609378374,0.6324535375262
"EAES301633",1.48965630163013,0.6324535375262
"EAES302162",1.6300044440165,0.6324535375262
"EAES301868",1.67089031139444,0.6324535375262
"EAES302172",1.69148007227454,0.6324535375262
"EAES302375",1.77504394665882,0.6324535375262
"EAES302152",1.7750447888788,0.6324535375262
"EAES301593",1.88233853276813,0.6324535375262
"EAES302238",2.03794887050074,0.6324535375262
"EAES302333",2.32342861753877,0.6324535375262
"EAES302350",2.32343275386112,0.6324535375262
"EAES302222",2.45078036465676,0.6324535375262
"EAES302369",2.55697573017805,0.6324535375262
"EAES301605",2.66744382562301,0.6324535375262
"EAES301654",2.69578030329727,0.6324535375262
"EAES302386",2.78271030946884,0.6324535375262
"EAES301704",3.09628692797281,0.6324535375262
"EAES301684",3.53819633660817,0.6324535375262
"EAES302192",3.57945064837222,0.6324535375262
"EAES302226",-0.65169112081604,0.889713143885401
"EAES301715",-0.625972155202036,0.889713143885401
"EAES302237",-0.587796535956801,0.889713143885401
"EAES302357",-0.524948227281576,0.889713143885401
"EAES302374",-0.512357445609363,0.889713143885401
"EAES301675",-0.499925474354729,0.889713143885401
"EAES302368",-0.00575895606703809,0.889713143885401
"EAES301867",0.135207944738291,0.889713143885401
"EAES302221",0.17046388458496,0.889713143885401
"EAES302171",0.370418595312621,0.889713143885401
"EAES302161",0.633181928769947,0.889713143885401
"EAES301577",0.755766722893029,0.889713143885401
"EAES302183",0.905954384000364,0.889713143885401
"EAES301703",0.98340028694008,0.889713143885401
"EAES301632",1.00892446299838,0.889713143885401
"EAES301670",1.36560105736481,0.889713143885401
"EAES302385",1.45379458508165,0.889713143885401
"EAES302209",1.48427308745887,0.889713143885401
"EAES302343",1.5453959346425,0.889713143885401
"EAES301653",1.56108848787789,0.889713143885401
"EAES301620",1.70557170868861,0.889713143885401
"EAES301604",1.72223549679097,0.889713143885401
"EAES302349",1.75611104573132,0.889713143885401
"EAES301662",1.80741700936803,0.889713143885401
"EAES301592",1.86001211706324,0.889713143885401
"EAES302191",2.53594023528855,0.889713143885401
"EAES301683",3.46889167596618,0.889713143885401
"EAES301714",0.156148897464107,1.76394836236382
"EAES301695",0.582233938261848,1.76394836236382
"EAES302236",0.752971238794408,1.76394836236382
"EAES301619",0.753032742933662,1.76394836236382
"EAES302160",0.788520060202805,1.76394836236382
"EAES301702",0.824347330860558,1.76394836236382
"EAES302373",0.860881697062196,1.76394836236382
"EAES301669",0.860915209321973,1.76394836236382
"EAES301682",0.898106345444449,1.76394836236382
"EAES301591",0.898146592872828,1.76394836236382
"EAES301661",0.975254301532411,1.76394836236382
"EAES302208",1.01484658717631,1.76394836236382
"EAES302220",1.01487154037424,1.76394836236382
"EAES301652",1.05603183114505,1.76394836236382
"EAES301578",1.09816882345983,1.76394836236382
"EAES301674",1.18693837532723,1.76394836236382
"EAES302367",1.23395572773337,1.76394836236382
"EAES302342",1.38873280704933,1.76394836236382
"EAES301603",1.57329588773162,1.76394836236382
"EAES302356",1.57330249220294,1.76394836236382
"EAES302348",1.64469380101787,1.76394836236382
"EAES302384",1.64471148187676,1.76394836236382
"EAES301631",1.64474025366357,1.76394836236382
"EAES301866",1.64474647263785,1.76394836236382
"EAES302170",1.72305483466665,1.76394836236382
"EAES302182",1.90915283010913,1.76394836236382
"EAES302190",2.16174687972395,1.76394836236382
"EAES302219",-1.08112620703612,0.781953306347874
"EAES302159",-0.772839334412916,0.781953306347874
"EAES301585",-0.466895858603398,0.781953306347874
"EAES302189",0.33963881002262,0.781953306347874
"EAES302235",0.451316027489545,0.781953306347874
"EAES301865",0.535685889606784,0.781953306347874
"EAES301651",0.663675821239139,0.781953306347874
"EAES301630",0.852749037439258,0.781953306347874
"EAES301579",0.897324605850755,0.781953306347874
"EAES301668",0.912078453007692,0.781953306347874
"EAES302201",0.942047356746478,0.781953306347874
"EAES301673",0.942051625852629,0.781953306347874
"EAES301713",0.942061694287847,0.781953306347874
"EAES302207",1.06366230351808,0.781953306347874
"EAES301660",1.09463282875546,0.781953306347874
"EAES302169",1.17296411388878,0.781953306347874
"EAES302181",1.20460525958567,0.781953306347874
"EAES302366",1.25257239382145,0.781953306347874
"EAES301618",1.3840894908511,0.781953306347874
"EAES302383",1.40073639084485,0.781953306347874
"EAES302355",1.6090210856151,0.781953306347874
"EAES301701",1.87220076335726,0.781953306347874
"EAES301602",2.05646318954602,0.781953306347874
"EAES301811",2.78198875600649,0.781953306347874
"EAES301806",2.93962148978345,0.781953306347874
"EAES301694",3.18639284929347,0.781953306347874
"EAES301681",3.26412516507736,0.781953306347874
"EAES301712",-1.48030796510928,0.758041455974271
"EAES301672",-0.452623020383595,0.758041455974271
"EAES302158",0.0267724336790688,0.758041455974271
"EAES301586",0.205796507637993,0.758041455974271
"EAES302354",0.308640085996579,0.758041455974271
"EAES301693",0.594256953120851,0.758041455974271
"EAES302234",0.740094665317719,0.758041455974271
"EAES302200",0.972093648884021,0.758041455974271
"EAES302180",0.999940817933978,0.758041455974271
"EAES301645",1.11314530008629,0.758041455974271
"EAES301680",1.15632318259787,0.758041455974271
"EAES301659",1.17080858953613,0.758041455974271
"EAES302168",1.17082441844133,0.758041455974271
"EAES301700",1.24389717263783,0.758041455974271
"EAES301629",1.42548871155753,0.758041455974271
"EAES301617",1.45666153163636,0.758041455974271
"EAES301580",1.58403123620883,0.758041455974271
"EAES301805",1.60028186038282,0.758041455974271
"EAES302365",1.68319524004348,0.758041455974271
"EAES301601",1.92839703804751,0.758041455974271
"EAES302206",1.94665666371665,0.758041455974271
"EAES302218",1.96518891884506,0.758041455974271
"EAES301640",1.96523904782069,0.758041455974271
"EAES301810",2.80796469472794,0.758041455974271
"EAES301650",2.91949253866759,0.758041455974271
"EAES302382",2.97900501418073,0.758041455974271
"EAES301667",3.41659132498368,0.758041455974271
"EAES302157",-0.916008555772089,0.678964767888484
"EAES302217",-0.718320703583931,0.678964767888484
"EAES301809",-0.0590599413976384,0.678964767888484
"EAES301711",0.233511438161466,0.678964767888484
"EAES301987",0.326049906647367,0.678964767888484
"EAES301692",0.961480028690644,0.678964767888484
"EAES301587",1.04430006902563,0.678964767888484
"EAES301649",1.07818320885158,0.678964767888484
"EAES302199",1.24932217849793,0.678964767888484
"EAES301679",1.49992370447927,0.678964767888484
"EAES301639",1.51856379602685,0.678964767888484
"EAES301671",1.57483900621371,0.678964767888484
"EAES302364",1.61265976090038,0.678964767888484
"EAES302214",1.66987748583643,0.678964767888484
"EAES301600",1.66991664259643,0.678964767888484
"EAES301616",1.70853976120683,0.678964767888484
"EAES301658",1.99416743179298,0.678964767888484
"EAES302179",2.01542793925179,0.678964767888484
"EAES301699",2.0582752150566,0.678964767888484
"EAES301644",2.23807223555049,0.678964767888484
"EAES301801",2.30915452087701,0.678964767888484
"EAES301628",2.3566422092392,0.678964767888484
"EAES301581",2.7496010551438,0.678964767888484
"EAES302205",2.95804338384519,0.678964767888484
"EAES302167",3.3697003468633,0.678964767888484
"EAES301666",3.44737271896275,0.678964767888484
"EAES301804",3.93949563046034,0.678964767888484
"EAES302213",-2.38758222230633,0.779471805413858
"EAES302363",-1.19599640638574,0.779471805413858
"EAES301588",-0.598017690787499,0.779471805413858
"EAES301638",-0.488508747459926,0.779471805413858
"EAES302156",-0.128076727384785,0.779471805413858
"EAES301657",0.318735884240872,0.779471805413858
"EAES301709",0.464578908004381,0.779471805413858
"EAES301986",0.531546966443276,0.779471805413858
"EAES301803",0.639552922436695,0.779471805413858
"EAES301808",0.846320450594896,0.779471805413858
"EAES302204",1.23969089480318,0.779471805413858
"EAES301671",1.41148411478387,0.779471805413858
"EAES301678",1.50908589049048,0.779471805413858
"EAES302216",1.52523796974851,0.779471805413858
"EAES301643",1.59252810464386,0.779471805413858
"EAES302198",1.64326977264136,0.779471805413858
"EAES302178",1.76660250619614,0.779471805413858
"EAES301665",1.85736707399059,0.779471805413858
"EAES301599",1.9148837183834,0.779471805413858
"EAES301800",2.07158634337488,0.779471805413858
"EAES301615",2.13309012413476,0.779471805413858
"EAES301582",2.5183806051846,0.779471805413858
"EAES301627",3.09454382091327,0.779471805413858
"EAES301648",3.12854742618505,0.779471805413858
"EAES302166",3.60378418574818,0.779471805413858
"EAES301691",15.7227092008634,0.779471805413858
"EAES301698",15.7227092008635,0.779471805413858
"EAES301626",0.771532990389832,0.982640788204134
"EAES301671",0.780471145954306,0.982640788204134
"EAES301677",0.937855224076472,0.982640788204134
"EAES301985",0.994803072313092,0.982640788204134
"EAES301583",0.995183234255913,0.982640788204134
"EAES302177",1.16797605575305,0.982640788204134
"EAES302362",1.23005357459363,0.982640788204134
"EAES301708",1.41884027332185,0.982640788204134
"EAES301642",1.41958666572523,0.982640788204134
"EAES301664",1.55487388021254,0.982640788204134
"EAES301612",1.62632342650625,0.982640788204134
"EAES301598",1.69804529220179,0.982640788204134
"EAES301637",1.69968585631143,0.982640788204134
"EAES301802",1.85106385354738,0.982640788204134
"EAES301807",1.85274450615787,0.982640788204134
"EAES301656",1.93460003305651,0.982640788204134
"EAES302197",2.02022377636637,0.982640788204134
"EAES302212",2.02022377636637,0.982640788204134
"EAES302215",2.02157332385435,0.982640788204134
"EAES301610",2.11579720161514,0.982640788204134
"EAES302203",2.30325668598068,0.982640788204134
"EAES301799",2.53313352724242,0.982640788204134
"EAES301589",2.65957354607843,0.982640788204134
"EAES301647",2.66060696203616,0.982640788204134
"EAES301614",3.896894495219,0.982640788204134
"EAES301690",27.035381437916,0.982640788204134
"EAES301697",27.035381437916,0.982640788204134
"EAES301590",-1.47441518332946,0.846871889456986
"EAES301689",-0.27212882085955,0.846871889456986
"EAES302211",-0.0297158978864397,0.846871889456986
"EAES301984",-0.00298200439339038,0.846871889456986
"EAES301611",0.236848881111815,0.846871889456986
"EAES302196",0.384110473545374,0.846871889456986
"EAES301677",0.532879234918113,0.846871889456986
"EAES301688",0.656023648738608,0.846871889456986
"EAES301613",0.683633583107679,0.846871889456986
"EAES301673",0.967799121437912,0.846871889456986
"EAES301710",1.08611252375451,0.846871889456986
"EAES301636",1.1012651198013,0.846871889456986
"EAES302202",1.19253587060166,0.846871889456986
"EAES301655",1.36700155020355,0.846871889456986
"EAES301597",1.38321139450583,0.846871889456986
"EAES301609",1.3834022790138,0.846871889456986
"EAES302362",1.60342497984163,0.846871889456986
"EAES301663",1.639825607778,0.846871889456986
"EAES302176",1.76780204511418,0.846871889456986
"EAES301798",1.88412848284349,0.846871889456986
"EAES301625",1.9239115599495,0.846871889456986
"EAES301807",1.92401685117329,0.846871889456986
"EAES301802",1.98595553183515,0.846871889456986
"EAES301641",2.02747280051299,0.846871889456986
"EAES301584",2.22714117292069,0.846871889456986
"EAES301646",2.64378554595453,0.846871889456986
"EAES301696",11.4342444074646,0.846871889456986