Anios;Total;Masculina;Femenina
1990;30,57;31,08;30,04
1991;30,13;30,55;29,70
1992;30,19;30,55;29,83
1993;30,96;31,39;30,52
1994;28,88;29,35;28,41
1995;28,71;29,08;28,33
1996;29,18;29,67;28,69
1997;27,79;28,23;27,36
1998;26,42;26,97;25,86
1999;28,81;29,38;28,24
2000;28,42;28,70;28,14
2001;26,67;27,05;26,29
2002;25,56;25,37;25,75
2003;24,19;24,03;24,37
2004;23,04;22,86;23,24
2005;22,26;22,56;21,95
2006;23,07;23,69;22,44
2007;22,69;23,32;22,08
2008;22,49;22,99;22,00
2009;22,59;23,29;21,91
2010;21,40;22,06;20,74
2011;21,58;22,19;20,98
2012;20,61;21,28;19,96
2013;18,76;19,30;18,22
2014;18,20;18,87;17,54
2015;17,79;18,35;17,24
2016;16,62;17,11;16,14
2017;17,37;17,99;16,76
2018;17,22;17,70;16,74