Provincias;Confirmados;Fallecidos;Aglomeraciones;Cerco Epidemiologico;Levantamiento Cadaveres;Orden Publico;Estafas;Aglomeraciones Mercados;Violencia Intrafamiliar
Pichincha;14813;718;11008;531;919;22179;194;715;9504
Guayas;17517;1656;8867;307;12805;64660;153;869;15129
Manabi;6488;787;4386;154;2234;3225;26;826;1419
Azuay;3323;72;3809;241;413;3546;34;179;1023
Tungurahua;2083;168;2793;72;307;4572;17;310;1336
Los Rios;2858;316;2317;107;678;3753;15;909;1103
Santo Domingo de los Tsachilas;3674;246;1856;78;621;1564;37;114;1962
Imbabura;1476;71;1311;30;429;2301;10;45;984
Loja;2553;81;1225;129;247;1114;13;88;454
Cotopaxi;2010;167;1223;34;172;1725;5;27;815
Esmeraldas;3223;186;1177;26;513;3508;11;285;1878
El Oro;3181;334;1076;107;816;7603;17;391;1261
Canar;739;51;1051;69;107;1606;6;31;266
Chimborazo;1425;213;764;21;708;238;15;63;880
Santa Elena;1148;331;596;13;1014;1761;3;38;725
Bolivar;1148;51;369;25;91;413;0;83;123
Orellana;1323;33;366;23;41;359;4;0;169
Sucumbios;1144;50;349;10;182;328;1;416;896
Carchi;895;29;317;12;107;1600;2;12;164
Morona Santiago;2011;14;293;24;112;279;8;32;685
Zamora Chinchipe;945;34;144;21;41;306;0;0;158
Pastaza;1376;44;142;10;86;675;2;0;237
Napo;940;49;97;11;75;265;1;0;240
Galapagos;103;1;25;12;132;271;0;0;80
ND;;;11;;5;43;;;15